challenge_name,overall_federal_agency,organization,category,date_announced,submission_close_date,judging_open_date,judging_close_date,public_voting_open_date,public_voting_close_date,winner_announcement_date,time_from_announcement_to_submission_close,time_from_submission_close_to_judging,time_for_judging,time_for_public_voting,time_from_judging_to_winner_announcement,total_prize_purse,grand_prize_winner,finalist_prize,number_of_finalists,other_prizes,about,judges,judging_criteria,type_of_competition,output,prize_type,
Calendar cover contest - womenshealth.gov,Department of Health and Human Services,U.S. Department of Health and Human Services,Health,1/3/2011,2/28/2011,3/1/2011,4/28/2011,,,4/29/2011,56,1,58,0,1,$0,$0,$0,1,"The winning entry will be featured as our 2012 Women's Health Calendar cover, along with your name and a brief bio if you wish.","Do you have an artist's touch?

Are you a repressed Rembrandt or an up-and-coming O'Keeffe?  

Would you like more than 500,000 people to see your talent next year?

The Office on Women's Health invites you to submit your best design to our 2012 calendar cover contest. ",N/A,"    Submissions must meet all requirements in this document.
    Submissions will be narrowed to a field of five entries, which will then be posted to womenshealth.gov for public voting. We will ask the finalists to provide the title of their art, the inspiration for the art, and a description of the media used for the art (e.g. created in Adobe Illustrator, scanned copy of watercolor, etc.).
    The finalist will be notified by email by April 29, 2011. The finalist may submit a photo and brief bio within 10 days of notification if the finalist wishes this information to be included with the contest winner announcement.
    HHS reserves the right to not select a winner if none of the entries received are judged to meet the Rules and Eligibility criteria.
    HHS reserves the right to disqualify any submission that it deems inappropriate for any reason and/or does not meet contest requirements.
",4,4,Exposition,
Connecting Kids To Coverage Challenge,Department of Health and Human Services,U.S. Department of Health and Human Services,Health,9/7/2011,9/7/2015,9/25/2015,9/29/2015,,,9/30/2015,1461,18,4,0,1,$0,$0,$0,N/A,Monthly recognition: Each month the most innovative and effective entry will be highlighted on the blog.,"The purpose of the Connecting Kids to Coverage Challenge is to enlist stakeholders in activities that will help enroll eligible children in Medicaid and CHIP.

A wide range of strategies can be used to advance that goal, and the purpose of this Challenge is to highlight and share especially effective and innovative ideas. Government agencies, nonprofit organizations and community-based institutions such as health care providers, schools and faith-based groups can then learn more about how best to devote resources to enrolling eligible children in health coverage programs.

Successful efforts for the Connecting Kids to Coverage will employ one or more of the following ""5 Ways to Step up to the Challenge"" of enrolling children:

Cut red tape. Work to simplify enrollment and renewal and reduce paperwork that creates unnecessary barriers to coverage for eligible children. 
Capitalize on technology. Enable families to apply and check their eligibility online. Explore ways to use the telephone, text-messaging and other technology in outreach and enrollment.
Create opportunities to sign up. Reach out and help families enroll their children where they live, learn, play, work, worship, and go for health care or for help with other family needs. Strive to make enrollment assistance an ongoing and routine activity.
Focus on retention. Take steps to help families renew their child’s coverage so that children stay covered for as long as they qualify and have consistent access to health care.
Forge partnerships. Engage public and private partners to magnify enrollment efforts.  ",A panel of judges,"Employs at least 1 of the “5 Ways to Step Up to the Challenge”
Does your effort fall into at at least 1 of the “5 Ways to Step Up to the Challenge”? (Cutting Red Tape, Capitalizing on technology, Creating opportunities to sign up, Focusing on retention, Forging partnerships)
Targets and Reaches Your Audience
Have you defined your target audience and is your activity or approach designed to reach that audience?
Is Creative with respect to Messaging , Strategy or Approach
Is your effort creative or innovative in a way that enhances its effectiveness? In the way it uses resources available in the community? In the way it builds capacity? In the way it integrates with aspects of the day-to-day routines of the community?
Can be transferable and/or replicable in other communities and other settings
How easy is it for others to take your approach and implement it in their community? (Remember that imitation is the finest form of flattery!)
Can Describe Outcomes
How will you track results? And how are you taking these results to improve your process over time?",2,1,Participation,
Preparing Our Communities Before a Disaster Strikes,Department of Homeland Security,Federal Emergency Management Agency,Personal and Public Safety,10/28/2010,1/29/2011,1/31/2011,5/27/2011,,,6/2/2011,93,2,116,0,6,$0,$0,$0,1,Highlighted on FEMA's website.,"To come up with ideas on how we can all help prepare our communities before disaster strikes and how the government can support community-based activities to help everyone be more prepared.

The sky is the limit. We want ideas from across the spectrum, from within whichever field you work, for whatever community in which you live. If you’re a doctor, what role can the medical community play? If you’re an artist, how can you use your medium to contribute?

This could be a new project or means of engaging the public to prepare for disasters on the individual or family level; a public service announcement about business preparedness to play on local radio or TV stations; or a new device, technology, application or piece of equipment to mitigate the effects of disaster.

Submissions will be judged based on originality, level of community engagement, and ease of implementation.",FEMA Leadership,"The Criteria
Submissions will be judged based on originality, level of community engagement, and ease of implementation.",1,1,Participation,
Sustainable Urban Housing: Collaborating for Liveable and Inclusive Cities,Department of Housing and Urban Development,U.S. Department of Housing and Urban Development,Energy & Environment,11/5/2010,2/2/2011,2/3/2011,4/11/2011,,,4/12/2011,89,1,67,0,1,"$31,000","$10,000","$10,000",5,,"This competition is being launched in anticipation of the 2012 Summit of the Americas, and in support of U.S. President Barack Obama’s Energy and Climate Partnership for the Americas (ECPA). It is funded by the Rockefeller Foundation, and is a joint effort of the U.S. Department of Housing and Urban Development, the U.S. Department of State, and the American Planning Association.

The Sustainable Urban Housing: Collaborating for Liveable and Inclusive Cities competition is open to all individuals, teams, and organizations (charitable organizations, private companies, or public entities). This global competition has a focus on Latin America and the Caribbean, but solutions for creating sustainable urban housing in any city around the world are welcome. We consider all entries that:

Reflect the theme of the challenge: Sustainable Urban Housing: Collaborating for Liveable and Inclusive Cities. The scope of the competition is to identify collaborative solutions that build affordable, safe, sustainable, and inclusive urban housing that respects local cultures, materials, and practices.
Are at a conceptual, “idea” stage; have a proven success at a small level, with the potential to grow in other cities around the world; or indicate growth beyond the conceptual stage and have already demonstrated impact and sustainability. Some innovations will achieve their impact quickly, while some will seed change for the long term on an incremental basis. While we support new ideas at every stage and encourage their entry, the judges are better able to evaluate programs that are beyond the conceptual stage and have demonstrated a proof of impact.
Are submitted in English, French, Spanish, or Portuguese.
Please complete the entire entry form and submit by February 2, 2011 5PM US EST. Note that entries will be strengthened with visual materials. All decisions of the judges will be final.","ANGEL CABRERA
President, Thunderbird School of Global Management
 
EDUARDO ROJAS
Urban Development Consultant,
 
INêS MAGALHãES
National Housing Secretary, Federal Republic of Brazil
 
JANE WERU
Executive Director and Founding Member, Akiba Mashinani Trust
 
JEROO BILLIMORIA
Founder, Aflatoun
 
MARíA OTERO
Under Secretary of State for Democracy and Global Affairs, U.S. Department of State
 
RON SIMS
Deputy Secretary, U.S. Department of Housing and Urban Development
 
SARA TOPELSON
Undersecretary for Urban and Territorial Development, Federal Government of Mexico
 
WILLIAM COBBETT
Manager, Cities Alliance","Innovation

Social Impact

Operational Sustainability

Environmental Sustainability:",2,1,Market Stimulation,
National Historic Landmark Photo Contest,Department of Interior,U.S. Department of the Interior,Energy & Environment,8/31/2010,9/10/2010,9/11/2010,9/29/2010,,,9/30/2010,10,1,18,0,1,$0,$0,$0,N/A,Photos spotlighted on webpage.,"In 2010, we celebrate the eleventh anniversary of the National Historic Landmark Photo Contest. The past decade has brought us over 1,000 incredible images from almost every state in the union. These images were submitted by people from all walks of life who care for and cherish these special places that represent our American story. Many images were submitted by owners or caretakers. Many others were submitted by visitors, both from the United States and abroad.The contest name, “Imaging Our National Heritage” encourages people to use their cameras to capture the meaning of the National Historic Landmark in a photo. We hope you’re inspired to visit our nation’s National Historic Landmarks, seek out the stories that have formed our American history, and create your own image to share.On this, our 11th anniversary, we hope to welcome hundreds of outstanding photos, many picturing landmarks that have not previously been part of the contest. National Park Service employees nationwide will vote to select the winning images.",N/A,N/A,4,4,Exposition,
Picture It! Safe Workplaces for Everyone,Department of Labor,Occupational Safety and Health Administration,Personal and Public Safety,5/2/2011,8/12/2011,8/13/2011,9/29/2011,,,9/30/2011,102,1,47,0,1,$0,$0,$0,N/A,"The winning and finalist photographs will be displayed prominently on the Photo Contest web page.

Additionally, first, second and third place winners' photographs will be framed and displayed within OSHA's National Office in Washington, D.C., serving as a daily reminder of the real-life impacts of OSHA's mission for leading policymakers and prominent professionals.

The first place winner will also receive a framed certificate from U.S. Secretary of Labor Hilda L. Solis. Second and third place winners will also receive a framed certificate from Assistant Secretary of Labor for Occupational Safety and Health Dr. David Michaels.","In celebration of our 40th anniversary, OSHA announces the Picture It!: Safe Workplaces for Everyone photo contest. The contest challenges anyone with a passion for photography to capture an image of workplace safety  and health and share it with OSHA. The goal of the contest is to kick off a national collaboration that relies on your talent, imagination and creativity to raise awareness of workplace safety and health. You can interpret ""image of workplace safety and health"" in any way you choose; you are not restricted to particular subjects or themes.",N/A,"Quality of photograph
Suitability for possible use in OSHA publications
Clarity of the safety and health information (or ""message"") conveyed
Originality
Creativity
Inclusion of worker, employer, or workplace imagery",4,4,Exposition,
Equal Pay App Challenge,Department of Labor,U.S. Department of Labor,Jobs,1/31/2012,3/31/2012,4/1/2012,4/10/2012,,,4/17/2012,60,1,9,0,7,N/A,N/A,N/A,8,"Grand Prize: General Assembly Scholarships
Each of the 5 grand prize application winners (in the case of a team submission, the project leader or designee) will receive a scholarship (one per team) to attend an eight-week immersive program hosted by General Assembly (http://generalassemb.ly/) where students will attend hands-on classes that build skills and provide an in-depth overview of topics in digital product innovation and entrepreneurship. Students will also experience the rigors of real-world entrepreneurship each afternoon by learning from a GA-affiliated startup. Through field studies, team exercises, and case studies, students will apply their learning in a results-oriented, fast-paced environment, and build a portfolio of major contributions to some of New York's most exciting startups. The scholarships will include full tuition and housing costs. Excellence in Equal Pay App Challenge - Mentorship Award One winner will have the opportunity to have a 30-minute conversation with Leila Janah, founder of Samasource, a social enterprise that brings dignified, computer-based micro-work to people living in poverty via a proprietary micro-work distribution platform.
Excellence in Equal Pay App Challenge - Non-Profit App Award One winner will receive a $5,000 award from Catalyst (http://www.catalyst.org/) to purchase their non-profit winning application, should the applicant choose to accept. Winner will provide one week (5 business days) worth of application modifications by their engineering team, as requested by Catalyst, to the winning application, at no charge.
Excellence in Equal Pay App Challenge - Women Innovation Award
Women Innovate Mobile (WIM) Accelerator will facilitate a customized 2-day startup entrepreneur boot-camp in New York City for the entrepreneur or team judged to have the best for-profit app. The startup bootcamp will cover startup basics including business model creation, product validation, legal and accounting issues for startups, banking and financial essentials, branding and marketing strategy, and pitching to investors. The team will receive design and development guidance as well as the opportunity to meet with other startup founders.
","﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿﻿Nearly 50 years after President Kennedy signed the Equal Pay Act, on average women are still paid less than their male counterparts for doing comparable jobs – that’s called the pay gap. It means that each time the average woman starts a new job, she’s likely to start from a lower base salary, but it also means that over time the pay gap between her and her male colleagues is likely to become wider and wider.

For the average working woman, the pay gap means $150 less in her weekly paycheck, $8,000 less at the end of the year, and $380,000 less over her lifetime. For women of color and women with disabilities, the disparity is even bigger.

Your challenge is to use publicly available labor data and other online resources to educate users about the pay gap and to build tools to promote equal pay.  

Each submission should achieve at least one of the following goals:

Provide greater access to pay data by gender, race, and ethnicity: 
These features should provide data that would be helpful to women throughout their careers as they negotiate starting pay, request a promotion or a raise, or consider switching fields to a more lucrative career path.  Participants must ensure that their submission complies with all applicable laws and regulations. 
Provide tools for early career coaching:
These features should use publicly available data to create an interactive online experience to educate young women on the pay gap and enable informed decision- making when selecting a career path.
Help inform negotiations: 
These features should provide feedback, tips, and critiques that guide users through the process of negotiating starting salary, pay rate, job level, or requesting a promotion or raise.  These tools should also educate individuals about their legal rights.
Promote online mentoring: 
These features should expand individuals’ access to broader communities and mentorship opportunities by providing a means to connect with others for career guidance.","Secretary Hilda L. Solis, U.S. Department of Labor
Jacqueline Berrien, Chair, U.S. Equal Employment Opportunity Commission (EEOC)
Thomas Perez, Assistant Attorney General for the Civil Rights Division, Department of Justice
Nilofer Merchant, Harvard Business Review Author
Victoria Elenowitz, Golden Seeds
Brad Feld, Venture Capitalist, Tech Stars
Gina Bianchini, CEO, MightyBell
Katie Stanton, Vice President, International Strategy, Twitter
Elianne Ramos, Principal and CEO of Speak Hispanic Communications and Vice-Chair of Communications and PR for Latinos in Social Media
Cindy Padnos, Partner, Illuminate
Chris Fralic, First Round Capital, Venture Capital
Melissa Bradley, CEO, Tides Foundation
Joanne Wilson, Angel Investor
Rachel Sklar, Writer and Social Entrepreneur","Mission
How well does the application address at least one of the four goals defined for this challenge? (50%)
Creativity
How innovative, interesting, and unique is the application in meeting contest requirements? (30%)
Design and Ease of Use
Does the application present information in a way that is easy for the target audiences to use and is pleasing to the eye? (20%)","1,2,3","1,2,3",Exposition,
DOL informACTION App Challenge,Department of Labor,U.S. Department of Labor,Jobs,7/14/2011,9/14/2011,9/26/2011,10/19/2011,9/26/2011,10/19/2011,10/20/2011,62,12,23,23,1,"$34,500","$15,000","$19,500",8,,"We’re looking for innovative ways to increase public awareness of the laws enforced by DOL to ensure fair and safe workplaces. The challenge is to utilize inspection and compliance information from the hotel, motel, restaurant and retail industries to help workers and consumers take educated action.  

You pick the technology…

the web
a personal computer
a mobile handheld device, or
any platform broadly accessible to the open Internet
we provide the data.",N/A,"Use of Required Data
Does the application use a combination of creative and relevant data sets, including at least the two mentioned in this challenge from api.dol.gov? (20%)

Technical Implementation
Is the application implemented in a functional and elegant fashion? (20%)

Mission
Does the application meet the mission defined for this challenge? (20%)

Creativity
Is the application creative, interesting, and easy to use? (40%)",3,2 or 3,Exposition,
Occupational Employment Statistics Challenge,Department of Labor,U.S. Department of Labor,Jobs,7/14/2011,9/14/2011,9/26/2011,10/19/2011,9/26/2011,10/19/2011,10/20/2011,62,12,23,23,1,"$33,500","$15,000","$18,500",6,,"Develop data visualizations that can help people plan their education, explore a career change, know what to expect in a new town, or negotiate pay and benefits. Meanwhile, you'll be helping researchers, academics, and the media access and organize the Bureau of Labor Statistics Occupational Employment Statistics (OES) data.

Using Technology to Visualize Employment Opportunities

The Bureau of Labor Statistics publishes data about employment and wage estimates for over 800 occupations﻿﻿﻿. We want your help in finding new ways to use these data through:

the web
a personal computer
a mobile handheld device, or
any platform broadly accessible to the open Internet.",N/A,"Use of Required Data
Does the application use a combination of creative and relevant data sets, including the required data mentioned in the Rules section? (20%)

Technical Implementation
Is the application implemented in a functional and elegant fashion? (20%)

Mission
Does the application meet the mission defined for this challenge? (20%)

Creativity
Is the application creative, interesting and easy to use? (40%)",3,2 or 3,Exposition,
Career Videos for America's Job Seekers,Department of Labor,U.S. Department of Labor,Jobs,11/8/2010,12/31/2010,1/1/2011,1/13/2011,,,1/14/2011,53,1,12,0,1,"$15,000","$1,000","$1,000",15,,"The Career Video Challenge has collected dozens of career videos highlighting work in fifteen occupation categories. Now you can vote for your favorite video in each category. The winning videos receive $1,000 each and the entire collection will be used to inform workers, students and others about what it takes to succeed in growing industries.

Check out the videos, vote, and make comments. If you’re in the job market, take an opportunity to learn what the day-to-day work in different careers really looks like. There are some great videos in the running and we need your help to guarantee that only the best take home the prize.",Public voting(?),The Career Video Challenge has collected dozens of career videos highlighting work in fifteen occupation categories. Now you can vote for your favorite video in each category.,4,4,Participation,
Apps 4 Africa,Department of State,U.S. Department of State,Science & Technology,7/1/2010,8/31/2010,9/1/2010,9/29/2010,,,9/30/2010,61,1,28,0,1,"$25,000","$15,000","$10,000",3,,"Apps 4 Africa is a contest to highlight the talent of local developers in Kenya, Uganda, Rwanda and Tanzania and to leverage the power of digital technology to make a better world. The challenge is to build the best digital tools to address community challenges in areas ranging from healthcare to education and government transparency to election monitoring.

 

Apps 4 Africa challenges local technologists to develop tools on a variety of platforms that build on the needs of citizens or on open data sets relevant to the East Africa region.

The contest runs July 1st- August 31st. Winners will receive a small bit of fame and fortune — cash, gadgets, chances to improve your technical skills and the opportunity to hob nob with our judges panel of tech luminaries and civil society leaders at an awards ceremony in September.","Ory Okolloh
Emeka Okafor
Joseph Mucheru
Nathan Eagle
Tom Gibian (WDC)
Anil Dash
Tim O'Reilly",A panel of judges chose winning projects based on their potential to have a measurable impact as well as their ingenuity.,2,2,Exposition,
Postcards from Home: Show Us Where You're From,Department of State,U.S. Department of State,International Affairs,11/9/2010,12/17/2010,12/18/2010,1/4/2011,N/A,N/A,1/5/2011,38,1,17,#VALUE!,1,"$5,000",N/A,N/A,20,"1-US and 1-NonUS grand prize winners-netbook computer, 18 runners-up receive t-shirts and postcards of top 20 submissions.","What does home mean to you? A special spot in your neighborhood? A community festival? A family gathering? Grab your camera, get creative and share a photo that represents your unique cultural backyard!","An independent jury comprised of Contest Sponsors and photography and dance experts will evaluate the submissions to choose one U.S. and one international grand prize winner and 18 finalists from the world’s six geographic regions as defined by the U.S. Department of State (Western Hemisphere, East Asia Pacific, Europe, Africa, Near East, South & Central Asia).","1. Originality
2. Creativity
3. Effectiveness
4. Photo Quality
",5-Photo contest for about homes/cultures.,5-Photographs + brief descriptions,Exposition,
Data Visualization Student Challenge,Department of Transportation,Department of Transportation,Science & Technology,7/29/2011,10/31/2011,11/14/2011,11/28/2011,,,12/20/2011,94,14,14,0,22,"$4,000","$2,000","$2,000",2,,"Informed decision making, based on sound data and analysis is a cornerstone in crafting an effective transportation policy and investment decisions. Data visualization can help uncover actionable information for making better informed decisions.  Data visualization is a tool for making vast amounts of data better understandable.

Do you have what it takes to apply data visualization for transportation investment or policy decisions?  The United States Department of Transportation (U.S. DOT) wants to see what you can do!

The Data Visualization Student Challenge is sponsored by the U.S. DOT Research and Innovative Technology Administration’s Bureau of Transportation Statistics and the Transportation Research Board’s (TRB) Committee on Visualization in Transportation.﻿ This challenge is designed to encourage students to examine data visualization options for helping decision makers make better informed policy and investment decisions in support of transportation safety and / or economic development.",A panel of federal transportation experts will serve as the judges for this challenge.,"Creativity and aesthetics of data visualization
Like artwork, data visualization products should be designed to capture the attention of the reader through creative use of visuals, layout, and animations (if applicable). How original and attractive is the data visualization product?

Success in translating multiple data sets into relevant visual information
At the core of data visualization is its potential to synthesize multiple, large datasets to deliver relevant and actionable information to the reader in a visually compelling way. How well does the data visualization product accomplish this?

Relevance to the goal areas of better understanding policy or investment problems related to transportation safety or economic development
Does the author’s submission contribute to a potential policy or investment issue in transportation safety or economic development?

Demonstrated value in assisting decision makers
Does the information presented in the data visualization product and summary shed new light on a transportation issue that otherwise would not have been seen?",2,5 - visualization schemes for effective decision making,Exposition,
2011-2012 FAA Design Competition for Universities,Department of Transportation,U.S. Department of Transportation,Science & Technology,11/1/2011,4/27/2012,4/28/2012,6/7/2012,,,6/8/2012,178,1,40,0,1,"$20,000",N/A,N/A,N/A,,"Participants are challenged to consider innovative approaches to the following airport design areas:

Operation and Maintenance
Runway Safety/Runway Incursions/Runway Excursions
Environmental Interactions
Management and Planning
Challenges might typically be addressed as part of a senior design class or independent study option or through other academic venues, including faculty-mentored, college-based student chapters of professional societies.

The Competition requires evidence of interaction with airport operators and industry experts for feedback on the practicality of the proposed design/approach.

Participants are encouraged to take an interdisciplinary approach to the selected topic and a cross-departmental approach where appropriate.

Design submissions must be student written and demonstrate a thorough understanding of current conditions/state of the art approaches relevant to the chosen topic.

Though not required, participants are strongly encouraged to provide a nonbinding Notice of Intent by January 31, 2012.",N/A,"1.  Introductory Material – 5 points

2.  Problem Statement and Background – 10 points

3.  Literature Review and Problem Solving Approach –37points

4.  Safety Risk Assessment – 8 points

5.  Evidence of effective interaction with airport operators and industry experts in the design process. – 12 points    Note:  per the guidelines, students must connect with both airport operators and industry experts.

6.  Practicality and Feasibility of the Proposed Design – 20 points 

7.   Innovation – 14 points

8.   Overall quality of the design package – 16 points",2,1,Exposition,
Intelligent Transportation Systems Video Challenge,Department of Transportation,U.S. Department of Transportation,Science & Technology,4/6/2011,6/30/2011,7/1/2011,10/15/2011,,,10/16/2011,85,1,106,0,1,N/A,N/A,N/A,1,,"The United States Department of Transportation (U.S. DOT) wants you to grab your camera and show us how ITS technologies are making transportation better in your community.
The ITS Video Challenge is sponsored by the U.S. DOT Research and Innovative Technology Administration, Federal Highway Administration, and Federal Transit Administration",N/A,"Videos will be evaluated based on the following criteria:

Success in describing the deployment of a specific ITS technology in your community.
Success in highlighting the benefits of the ITS technology deployment.
Creativity of presentation.",4,4,Participation,
Connected Vehicle Technology Challenge,Department of Transportation,U.S. Department of Transportation,Science & Technology,1/24/2011,5/1/2011,5/2/2011,5/31/2011,,,7/22/2011,97,1,29,,52,N/A,N/A,N/A,6,,"One idea will change the future of transportation — is it yours?

The Connected Vehicle Technology Challenge is calling on problem solvers to share their ideas about innovative uses of dedicated short range communications (DSRC), an advanced wireless technology that enables vehicles to communicate.

This technology could be used to:

Tell you where to find available parking spaces
Help you make your bus or train connection on time
Notify you when an available cab is nearby
Cut pollution by reducing emissions as your car approaches a red light
How would you use it?

Submissions can be short and need not be technical. Finalists will receive a free trip to the Intelligent Transportation Systems World Congress in Florida this October to share their concepts and network with leading transportation researchers and investors.

Everyone has ideas. Share yours today.",A panel of expert judges from the DOT's Intelligent Transportation Systems Program and other stakeholders,"Technical and operational feasibility
How plausible is it that this Concept could be implemented? What risks or challenges exist, and how could they be overcome?

Potential for widespread adoption
How likely is it that this Concept would be widely adopted, if it were developed? What are the risks facing broad adoption, and how could they be overcome?

Innovation
To what degree is this a novel idea?

Social benefit
How much would this idea benefit travelers or society at large? Emphasis is on improvements to transportation safety, mobility, reliability, accessibility and/or environmental impact.",5 - use of science and technology for a social cause,1,Exposition,
FAA Design Competition for Universities (Repeat of 2011-2012 FAA Design Competition for Universities),Department of Transportation,U.S. Department of Transportation,Science & Technology,11/1/2010,4/15/2011,4/16/2011,6/5/2011,,,6/6/2011,94,14,14,N/A,22,"$20,000",,,,,,,,2,1,Exposition,
Connected Vehicle Technology Challenge,Department of Transportation,U.S. Department of Transportation,Energy & Environment,1/24/2011,5/1/2011,5/2/2011,6/30/2011,5/2/2011,5/31/2011,7/22/2011,178,1,4,N/A,1,$0,$0,$0,6,"    Six awardees will be honored speakers at a special session at the 2011 World Congress on Intelligent Transportation Systems. Awardees will receive paid registration, transportation, meals and accommodations for the World Congress, which will be held in Orlando, Florida, from October 16-20,2011.

","One idea will change the future of transportation — is it yours?

The Connected Vehicle Technology Challenge is calling on problem solvers to share their ideas about innovative uses of dedicated short range communications (DSRC), an advanced wireless technology that enables vehicles to communicate.

This technology could be used to:

Tell you where to find available parking spaces
Help you make your bus or train connection on time
Notify you when an available cab is nearby
Cut pollution by reducing emissions as your car approaches a red light
How would you use it?

Submissions can be short and need not be technical. Finalists will receive a free trip to the Intelligent Transportation Systems World Congress in Florida this October to share their concepts and network with leading transportation researchers and investors.

Everyone has ideas. Share yours today.",A panel of expert judges from the DOT's Intelligent Transportation Systems Program and other stakeholders,"Technical and operational feasibility
How plausible is it that this Concept could be implemented? What risks or challenges exist, and how could they be overcome?

Potential for widespread adoption
How likely is it that this Concept would be widely adopted, if it were developed? What are the risks facing broad adoption, and how could they be overcome?

Innovation
To what degree is this a novel idea?

Social benefit
How much would this idea benefit travelers or society at large? Emphasis is on improvements to transportation safety, mobility, reliability, accessibility and/or environmental impact.",1,1,Exposition,
Two-Second Turnoff Distracted Driving Video Challenge,Department of Transportation,U.S. Department of Transportation,Health,8/2/2010,9/10/2010,9/11/2010,9/20/2010,,,9/21/2010,85,1,16,N/A,1,"$2,000","$2,000",$0,1,,"We're trying to save lives, and we need YOUR help.

Taking your eyes off the road for only two seconds doubles your crash risk. But it also takes only two seconds to turn off the phone before getting behind the wheel.

We're asking young people across America to shoot their own PSAs against distracted driving and post them on YouTube by September 10. Then tell your friends about it. The best video will win a $2,000 prize and be featured on Seventeen.com, AAAExchange.com, Distraction.gov and at our Distracted Driving Summit on September 21.",N/A,N/A,4,4,Participation,
G-20 SME Finance Challenge,Department of Treasury,U.S. Department of the Treasury,Economy,6/26/2010,9/5/2010,9/6/2010,11/8/2010,,,11/9/2010,97,1,29,N/A,52,N/A,N/A,N/A,12-15,,"At the Pittsburgh Summit, the G-20 created the Financial Inclusion Experts Group (FIEG) to expand access to financial services, including credit, to the poor. In Pittsburgh, Leaders also called for the launch of a global small and medium-sized enterprises (SME) Finance Challenge, a unique financial inclusion effort aimed at helping small- and medium-sized entrepreneurs grow their businesses. The aim of the Challenge is to find the best models worldwide for public-private partnerships that catalyze finance for SMEs and to give the creators of those models a chance to solicit financing.

SMEs play a major role in economic development and are often the single largest source of job creation, particularly in emerging economies. Lack of access to finance, however, is a major obstacle to these firms’ growth. Only an estimated 20 percent of small firms in low-income countries have access to credit. SMEs are often too small to attract commercial bank or investor interest, but too large to benefit from microfinance products. To date, few scalable solutions to support this ""missing middle"" tier of businesses have been found."," 
ELIZABETH WALLACE
Director and President, Frontier Finance International
 
KURT HOFFMAN
Former Director, Shell Foundation
 
MUTLE MOGASE
Co-founder and Executive Chairman, Vantage Capital Group
 
NACHIKET MOR
Chairman, Sughavazhvu Healthcare
 
NANCY LEE
General Manager, Multilateral Investment Fund
 
STEWART PAPERIN
Executive Vice President, Open Society Institute Soros Foundation
 
THORSTEN BECK
Professor of Economics, Tilburg University
 
YONGBEOM KIM
Director General of Global Financial Architecture Bureau, Presidential Committee for the G-20 Summit","Innovation: The entrant must describe a systemic and/or transformational solution that is not now widely applied but which has demonstrated potential for unlocking large-scale private financing for SMEs. Proposals should target SMEs with a focus on the small end of the spectrum.

Leverage: Winning entries will propose solutions that maximize the leverage of scarce public resources in catalyzing private finance.

Social and Economic Impact: Proposals must have a track record with measurable results. They must have a clear, measurable financial access impact, demonstrated by results from pilot or other empirical testing. They should credibly estimate the number of underserved SMEs that could be reached over a designated time frame, the volume of private SME finance that could be catalyzed, the amount of finance that would be available to individual targeted SMEs, the new markets and areas to be served by the proposal, and the potential for job creation (where possible).

Sustainability and Soundness: Proposals must credibly demonstrate their potential to be scaled up and sustained over the long-term as public support is phased out. Proposals must have a realistic time frame for implementation. If public finance is required to implement the proposal, it must be suited to the technical, legal, and financing capacity of the international financial institutions (e.g. The World Bank and regional development banks) and bilateral financing institutions (DFIs). Proposals must also meet policy and regulatory standards for safe and sound financial systems and for the prevention of money laundering and terrorist financing.",5-Solving economic/business issue,1,Point Solution,
Veterans Health Wireless Innovation Challenge,Department of Veterans Affairs,U.S. Department of Veterans Affairs,Science & Technology,11/1/2010,3/15/2011,3/16/2011,3/29/2011,,,4/1/2011,165,1,5,N/A,1,"$10,000","$10,000",$0,1,,"The submission theme must be in keeping with our mission of decreasing health care costs through the application of wireless health technology.

Bright ideaers and technovators will be expected to create an original app or hardware device for either Android or Apple OS cellular phone technology in any combination of one or more M2M technology; such as physiological or environmental sensors, gyroscopes/accelerometers, cellular based cameras, video teleconferencing, Bluetooth, GPS, or a medical device.",Judging is conducted by a panel of experts to be selected by VAi2 and WWHI. All selections are final.,"a. Uniqueness of the engineered solution (hardware, sensors, app, or overall project design) 
b. Potential for implementation in a VA clinical setting as a health technology solution 
c. Ability to accurately, concisely and securely gather and transmit health related data for use by a clinician",2,2,Point Solution,
Real-time Electronic Access for Caregivers and the Homeless (REACH). Join the mobile app challenge to connect those in need to resources in their community.,Department of Veterans Affairs ,VA Innovation Initiative,Science & Technology,3/22/2012,7/27/2012,7/28/2012,8/23/2012,,,11/9/2012,127,1,26,0,78,"$75,000","$25,000","$10,000",5,NA,"Last year, 636,017 people were homeless in the United States. 67,495 of these persons were veterans, about 14 percent of all homeless adults.  Persons in families made up about 37 percent of all homeless people. No one should have to experience homelessness in America, let alone children and those who have served.   We can do better than this.  We’ve launched this challenge to promote the development of an app that will provide easy access to resources that the homeless need, when they need it, and where they can get it.  Volunteers and outreach workers should be able to use this app at places like Jon Bon Jovi's Soul Kitchen to look up the location and availability of shelters, free clinics, and other social services, and instantaneously be able to share this information with those in need.
Making this information available to those who can help could make a tremendous difference in the life of anyone who is homeless.   We look forward to seeing your ideas and working with you to help end homelessness together.","Director, VA Innovations Initiative","Simply put, we're looking for contestants to provide a free, broadly accesible app that produces real or near real-time information on where someone can find a bed, a place to eat, or seek medical services. See competition rules for details.",3,2,N/A,
